Nombre de la Actividad,Descripción,Duración (min),Tipo de Ejercicio,Nivel de Intensidad,Equipo Necesario,Detalle de Series (peso-repeticiones-series),Partes del Cuerpo,Calorías
Sentadilla goblet,"Bajá controlado manteniendo el pecho arriba. Rodillas alineadas con pies.",12,Fuerza,Media,"mancuerna o kettlebell","[(16-12-3);(20-10-3);(24-8-2)]","piernas, glúteos",120
Flexiones con pausa,"Bajá en 3s, pausa 1s, subí explosivo. Mantener core activo.",10,Calistenia,Alta,"colchoneta","[(0-10-4);(0-8-3)]","pecho, tríceps, core",110
Peso muerto rumano,"Cadera atrás, espalda neutra. Sentí el estiramiento en isquios.",15,Fuerza,Alta,"barra","[(40-10-3);(50-8-3);(60-6-2)]","isquiotibiales, glúteos, espalda",160
Remo con banda elástica,"Tirón hacia el ombligo. Evitar encoger hombros.",8,Fuerza,Baja,"banda elástica","[(0-15-3);(0-12-3)]","espalda, bíceps",70
Plancha frontal,"Mantener línea recta. Respiración nasal. No hundir cadera.",6,Core,Media,"colchoneta","[(0-40-3)]","core",60
Zancadas caminando,"Paso largo, rodilla trasera cerca del piso. Alterná piernas.",14,Fuerza,Media,"mancuernas","[(10-12-3);(12-10-3)]","piernas, glúteos",140
Jumping jacks,"Ritmo constante. Aterrizá suave y mantené la postura.",8,Cardio,Media,"sin equipo","[(0-60-2)]","cuerpo completo",90
Burpees,"Bajá al piso, empuje, salto vertical. Escalá con step-back si hace falta.",10,Cardio,Alta,"sin equipo","[(0-10-4)]","cuerpo completo",150
Press militar sentado,"Codos debajo de la barra/mancuernas. No arquear la zona lumbar.",12,Fuerza,Media,"mancuernas","[(8-12-3);(10-10-3);(12-8-2)]","hombros, tríceps",130
Mountain climbers,"Rodillas al pecho alternando rápido. Mantener hombros encima de manos.",7,Cardio,Alta,"colchoneta","[(0-40-3)]","core, hombros",100
