Nombre,Descripción,Calorías,Proteínas (g),Carbohidratos (g),Grasas (g),Dificultad,Ingredientes,Porciones,Minutos
Avena nocturna con frutos rojos,"Mezclá avena, yogur y leche. Dejá reposar toda la noche. Serví con frutos rojos y semillas.",420,22,58,12,Principiante,"avena; yogur griego; leche; frutillas; arándanos; chía",1,10
Ensalada mediterránea con garbanzos,"En un bowl mezclá garbanzos, pepino, tomate y aceitunas. Aliñá con limón y aceite de oliva.",510,18,52,26,Principiante,"garbanzos; tomate; pepino; aceitunas; queso feta; aceite de oliva; limón",2,15
Pollo al curry suave con arroz,"Salteá cebolla y pollo. Agregá curry y leche de coco. Serví con arroz basmati.",690,45,72,18,Intermedio,"pollo; cebolla; curry; leche de coco; arroz; cilantro",2,35
Tostadas de palta y huevo poché,"Tostá pan integral. Pochar huevo 3-4 min. Montá con palta pisada y limón.",560,26,42,30,Intermedio,"pan integral; palta; huevo; limón; pimienta; sal",1,20
Sopa crema de calabaza y jengibre,"Herví calabaza y zanahoria. Procesá con jengibre. Ajustá con sal y un toque de crema.",320,8,48,10,Principiante,"calabaza; zanahoria; jengibre; caldo; crema",3,30
Bowl vegano de tofu y quinoa,"Cociná quinoa. Dorá tofu con salsa de soja. Sumá vegetales y semillas.",640,32,68,24,Avanzado,"quinoa; tofu; salsa de soja; brócoli; morrón; sésamo",2,25
Pasta integral con atún y tomate,"Cociná pasta integral. Mezclá con atún, tomate cherry y albahaca.",720,38,92,18,Principiante,"pasta integral; atún; tomate cherry; albahaca; aceite de oliva",2,25
Yogur griego con granola casera,"Mezclá yogur con granola y banana. Opcional: miel y canela.",450,28,54,14,Principiante,"yogur griego; granola; banana; miel; canela",1,5
Hamburguesa de lentejas,"Procesá lentejas con avena y especias. Formá medallones y dorá en sartén.",610,26,78,18,Intermedio,"lentejas; avena; cebolla; ajo; comino; pimentón",2,30
Smoothie verde proteico,"Licuar espinaca, banana, proteína, agua y mantequilla de maní. Servir frío.",390,30,36,14,Principiante,"espinaca; banana; proteína whey; agua; mantequilla de maní",1,5
